"Liga","Mecz","MatchId","Data","Arena","Drużyna","TeamId","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Kuczkowski, Michał","1681793","0","-1","3","1","0","52","0","0","0","0","0","13","5","2","8","0","15","0","0","0","0","0","0","2","8","6","25","46","1","11","16","18","0.6","{""sets"":[{""h"":7,""a"":25},{""h"":5,""a"":25},{""h"":6,""a"":25}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""7 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""end"",""score"":""7 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""rally"",""score"":""7 : 25"",""speed"":""51.2 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""7 : 24"",""speed"":""45.4 km/h"",""res"":""Błąd: C. Gojnea""},{""type"":""rally"",""score"":""7 : 23"",""speed"":""52.0 km/h"",""res"":""Punkt: B. Wawryniuk""},{""type"":""rally"",""score"":""7 : 22"",""speed"":""56.3 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""7 : 21"",""speed"":""54.1 km/h"",""res"":""Punkt: A. Henderson""},{""type"":""rally"",""score"":""7 : 20"",""speed"":""55.1 km/h"",""res"":""Punkt: I. Menaballi""},{""type"":""rally"",""score"":""6 : 20"",""speed"":""58.3 km/h"",""res"":""Punkt: F. Aboim""},{""type"":""rally"",""score"":""6 : 19"",""speed"":""56.9 km/h"",""res"":""Punkt: F. Aboim""},{""type"":""rally"",""score"":""6 : 18"",""speed"":""-"",""res"":""Błąd: M. Kuczkowski""},{""type"":""rally"",""score"":""6 : 17"",""speed"":""-"",""res"":""Błąd: M. Drąg""},{""type"":""rally"",""score"":""5 : 17"",""speed"":""62.5 km/h"",""res"":""Punkt: A. Henderson""},{""type"":""tmo"",""score"":""5 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""5 : 16"",""speed"":""55.7 km/h"",""res"":""Punkt: A. Henderson""},{""type"":""rally"",""score"":""5 : 15"",""speed"":""52.1 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""5 : 14"",""speed"":""53.3 km/h"",""res"":""Punkt: A. Henderson""},{""type"":""rally"",""score"":""5 : 13"",""speed"":""-"",""res"":""Błąd: K. Rzymski""},{""type"":""rally"",""score"":""4 : 13"",""speed"":""55.0 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""4 : 12"",""speed"":""73.4 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""rally"",""score"":""4 : 11"",""speed"":""-"",""res"":""Błąd: M. Carella""},{""type"":""rally"",""score"":""4 : 10"",""speed"":""48.5 km/h"",""res"":""Punkt: C. Naliwajko""},{""type"":""rally"",""score"":""3 : 10"",""speed"":""50.6 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""chg"",""score"":""3 : 9"",""txt"":""Zmiana: M. Carella ⇄ T. Nakaizumi""},{""type"":""rally"",""score"":""3 : 9"",""speed"":""68.0 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""tmo"",""score"":""3 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""3 : 8"",""speed"":""43.1 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""chg"",""score"":""3 : 7"",""txt"":""Zmiana: C. Naliwajko ⇄ M. Baranowski""},{""type"":""chg"",""score"":""3 : 7"",""txt"":""Zmiana: M. Kuczkowski ⇄ K. Juszkiewicz""},{""type"":""rally"",""score"":""3 : 7"",""speed"":""52.7 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""chg"",""score"":""3 : 6"",""txt"":""Zmiana: C. Gojnea ⇄ P. Lauriola""},{""type"":""rally"",""score"":""3 : 6"",""speed"":""49.3 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""3 : 5"",""speed"":""64.5 km/h"",""res"":""Błąd: K. Rzymski""},{""type"":""tmo"",""score"":""2 : 5"",""txt"":""Czas dla: KS Okalew""},{""type"":""rally"",""score"":""2 : 5"",""speed"":""53.5 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""chg"",""score"":""2 : 4"",""txt"":""Zmiana: K. Juszkiewicz ⇄ M. Kuczkowski""},{""type"":""chg"",""score"":""2 : 4"",""txt"":""Zmiana: T. Nakaizumi ⇄ M. Carella""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""-"",""res"":""Błąd: I. Menaballi""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""-"",""res"":""Błąd: W. Kowalski""},{""type"":""tmo"",""score"":""1 : 3"",""txt"":""Czas dla: KS Okalew""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""45.3 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""58.1 km/h"",""res"":""Punkt: F. Aboim""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""63.8 km/h"",""res"":""Punkt: P. Lauriola""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: B. Wawryniuk ⇄ J. Wrzesiński""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""52.0 km/h"",""res"":""Punkt: W. Kowalski""}]},{""rallies"":[{""type"":""end"",""score"":""5 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""end"",""score"":""5 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""rally"",""score"":""5 : 25"",""speed"":""62.7 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""5 : 24"",""speed"":""52.3 km/h"",""res"":""Punkt: M. Krawiec""},{""type"":""rally"",""score"":""5 : 23"",""speed"":""44.9 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""5 : 22"",""speed"":""62.8 km/h"",""res"":""Punkt: T. Nakaizumi""},{""type"":""rally"",""score"":""4 : 22"",""speed"":""63.2 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""4 : 21"",""speed"":""55.4 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""4 : 20"",""speed"":""63.8 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""rally"",""score"":""4 : 19"",""speed"":""63.2 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""rally"",""score"":""4 : 18"",""speed"":""53.6 km/h"",""res"":""Punkt: M. Klemenčič""},{""type"":""rally"",""score"":""4 : 17"",""speed"":""-"",""res"":""Błąd: M. Klemenčič""},{""type"":""rally"",""score"":""3 : 17"",""speed"":""44.4 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""3 : 16"",""speed"":""-"",""res"":""Błąd: M. Krawiec""},{""type"":""tmo"",""score"":""2 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""2 : 16"",""speed"":""52.6 km/h"",""res"":""Punkt: M. Klemenčič""},{""type"":""rally"",""score"":""2 : 15"",""speed"":""63.1 km/h"",""res"":""Punkt: M. Klemenčič""},{""type"":""rally"",""score"":""2 : 14"",""speed"":""64.9 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""rally"",""score"":""2 : 13"",""speed"":""54.4 km/h"",""res"":""Punkt: M. Klemenčič""},{""type"":""rally"",""score"":""2 : 12"",""speed"":""61.0 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""2 : 11"",""speed"":""54.2 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""60.3 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""62.2 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""tmo"",""score"":""2 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""2 : 8"",""speed"":""-"",""res"":""Błąd: I. Menaballi""},{""type"":""rally"",""score"":""2 : 7"",""speed"":""56.3 km/h"",""res"":""Punkt: I. Menaballi""},{""type"":""rally"",""score"":""1 : 7"",""speed"":""63.8 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""rally"",""score"":""1 : 6"",""speed"":""50.9 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""rally"",""score"":""1 : 5"",""speed"":""60.0 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""tmo"",""score"":""1 : 4"",""txt"":""Czas dla: KS Okalew""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""55.7 km/h"",""res"":""Punkt: M. Klemenčič""},{""type"":""tmo"",""score"":""1 : 3"",""txt"":""Czas dla: KS Okalew""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""57.2 km/h"",""res"":""Punkt: M. Krawiec""},{""type"":""chg"",""score"":""1 : 2"",""txt"":""Zmiana: K. Juszkiewicz ⇄ M. Kuczkowski""},{""type"":""chg"",""score"":""1 : 2"",""txt"":""Zmiana: T. Nakaizumi ⇄ B. Kędzierski""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""51.6 km/h"",""res"":""Punkt: M. Krawiec""},{""type"":""chg"",""score"":""1 : 1"",""txt"":""Zmiana: P. Lauriola ⇄ C. Gojnea""},{""type"":""chg"",""score"":""1 : 1"",""txt"":""Zmiana: I. Menaballi ⇄ C. Naliwajko""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""-"",""res"":""Błąd: M. Drąg""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Krawiec ⇄ W. Kowalski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: W. Niewiadomski ⇄ A. Henderson""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Klemenčič ⇄ F. Aboim""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: C. Gojnea ⇄ P. Lauriola""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: C. Naliwajko ⇄ I. Menaballi""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""47.8 km/h"",""res"":""Punkt: F. Aboim""}]},{""rallies"":[{""type"":""end"",""score"":""6 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""end"",""score"":""6 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""rally"",""score"":""6 : 25"",""speed"":""54.4 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""6 : 24"",""speed"":""66.6 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""6 : 23"",""speed"":""56.9 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""rally"",""score"":""6 : 22"",""speed"":""62.3 km/h"",""res"":""Punkt: B. Wawryniuk""},{""type"":""rally"",""score"":""6 : 21"",""speed"":""49.2 km/h"",""res"":""Punkt: M. Drąg""},{""type"":""rally"",""score"":""6 : 20"",""speed"":""50.1 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""6 : 19"",""speed"":""46.1 km/h"",""res"":""Błąd: C. Gojnea""},{""type"":""rally"",""score"":""6 : 18"",""speed"":""-"",""res"":""Błąd: J. Wrzesiński""},{""type"":""rally"",""score"":""5 : 18"",""speed"":""57.0 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""5 : 17"",""speed"":""48.7 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""tmo"",""score"":""5 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""5 : 16"",""speed"":""-"",""res"":""Błąd: C. Gojnea""},{""type"":""tmo"",""score"":""5 : 15"",""txt"":""Czas dla: TKS Jelenie Studzienki ""},{""type"":""rally"",""score"":""5 : 15"",""speed"":""50.3 km/h"",""res"":""Punkt: M. Baranowski""},{""type"":""rally"",""score"":""4 : 15"",""speed"":""56.9 km/h"",""res"":""Punkt: C. Gojnea""},{""type"":""rally"",""score"":""3 : 15"",""speed"":""62.9 km/h"",""res"":""Punkt: M. Baranowski""},{""type"":""rally"",""score"":""2 : 15"",""speed"":""51.8 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""2 : 14"",""speed"":""46.2 km/h"",""res"":""Punkt: I. Menaballi""},{""type"":""rally"",""score"":""1 : 14"",""speed"":""61.6 km/h"",""res"":""Punkt: F. Bealer""},{""type"":""rally"",""score"":""1 : 13"",""speed"":""55.1 km/h"",""res"":""Błąd: B. Kędzierski""},{""type"":""rally"",""score"":""1 : 12"",""speed"":""60.2 km/h"",""res"":""Punkt: K. Rzymski""},{""type"":""rally"",""score"":""1 : 11"",""speed"":""62.0 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""rally"",""score"":""1 : 10"",""speed"":""49.4 km/h"",""res"":""Błąd: C. Gojnea""},{""type"":""rally"",""score"":""1 : 9"",""speed"":""46.1 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""1 : 8"",""speed"":""-"",""res"":""Błąd: B. Wawryniuk""},{""type"":""tmo"",""score"":""0 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""0 : 8"",""speed"":""56.1 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""0 : 7"",""speed"":""51.2 km/h"",""res"":""Punkt: J. Wrzesiński""},{""type"":""rally"",""score"":""0 : 6"",""speed"":""56.0 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""tmo"",""score"":""0 : 5"",""txt"":""Czas dla: KS Okalew""},{""type"":""rally"",""score"":""0 : 5"",""speed"":""63.1 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""rally"",""score"":""0 : 4"",""speed"":""49.8 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""tmo"",""score"":""0 : 3"",""txt"":""Czas dla: KS Okalew""},{""type"":""rally"",""score"":""0 : 3"",""speed"":""62.1 km/h"",""res"":""Punkt: F. Bealer""},{""type"":""chg"",""score"":""0 : 2"",""txt"":""Zmiana: M. Carella ⇄ T. Nakaizumi""},{""type"":""chg"",""score"":""0 : 2"",""txt"":""Zmiana: I. Menaballi ⇄ C. Naliwajko""},{""type"":""chg"",""score"":""0 : 2"",""txt"":""Zmiana: M. Kuczkowski ⇄ K. Juszkiewicz""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""68.0 km/h"",""res"":""Punkt: W. Kowalski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: F. Bealer ⇄ F. Aboim""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: B. Wawryniuk ⇄ A. Henderson""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: K. Juszkiewicz ⇄ M. Kuczkowski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: C. Gojnea ⇄ P. Lauriola""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: C. Naliwajko ⇄ I. Menaballi""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: T. Nakaizumi ⇄ M. Carella""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""45.3 km/h"",""res"":""Punkt: W. Kowalski""}]}]}","0","1","0","7","0","0","2","8","0","1","2","0","0","0","52","48.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","25","1","4","10","46","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","3","20","2","26","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Kędzierski, Bartosz","1864635","1","-3","4","0","0","58.1","6","4","1","17","-50","8","6","4","2","0","50","18","0","100","2","11","0","6","14","0","0","0","0","0","0","0","7.2","","0","0","0","2","0","0","6","14","0","0","5","0","0","1","58.1","52.5","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","2","0","0","3","0","0","0","0","0","0","0","3","7","8","18","4","0","2","0","2","0","0","0","0","0","0","0","3","16","2","9","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Menaballi, Italo","1744884","4","-10","3","2","0","51.8","24","12","4","17","-33","4","1","0","3","0","0","0","0","0","0","0","0","12","19","0","0","1","0","0","1","0","-18.6","","0","0","0","3","0","0","12","19","0","0","9","0","0","3","51.8","51.8","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","3","0","12","0","8","23","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","5","10","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Lauriola, Paolo","1710082","1","-6","2","0","0","49.3","10","7","1","10","-60","8","3","0","5","0","0","0","0","0","0","0","0","4","14","0","0","0","0","0","0","0","-8.5","","0","1","0","4","0","0","4","14","0","0","4","0","0","0","49.3","46.8","1","0","0","0","0","1","0","0","4","0","0","4","0","0","3","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","10","1","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Carella, Martino","1744885","1","-4","3","1","0","53.6","6","3","1","17","-33","13","3","2","10","2","31","30","1","97","2","7","0","3","17","0","0","0","0","0","0","0","9.3","","0","0","2","10","0","0","3","17","0","0","2","0","0","1","53.6","49.9","0","0","0","0","1","1","0","0","2","1","0","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","5","10","12","29","2","0","1","0","0","1","2","0","2","0","0","0","3","10","15","12","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Baranowski, Maciej","1903655","3","-5","1","0","0","44.9","21","8","3","14","-24","4","1","0","3","0","0","0","0","0","0","0","0","14","26","0","0","0","0","0","0","0","-10.8","","0","0","0","3","0","0","14","26","0","0","13","0","0","1","44.9","44.9","0","0","0","0","1","1","1","0","1","0","1","3","0","0","0","0","0","0","1","0","7","1","8","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","7","9","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Stoilov, Krasimir","1767983","0","0","0","0","0","0","0","0","0","0","0","15","9","6","6","2","53","8","0","100","1","13","0","0","0","0","2","3","0","1","0","2","9.2","","1","1","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","3","0","4","3","1","8","6","2","1","1","2","0","2","1","0","0","1","0","3","4","5","10","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Gojnea, Cezar","1709695","1","-5","3","1","1","50.3","8","5","0","0","-62","5","2","1","3","0","20","0","0","0","0","0","0","5","12","0","0","0","0","0","0","0","-4.7","","0","1","0","2","0","0","5","12","0","1","3","0","0","2","56.9","53.6","0","3","0","0","1","4","0","0","2","0","0","2","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","4","0","11","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Nakaizumi, Teppei","1905222","1","-2","0","0","0","0","5","2","1","20","-20","4","1","0","3","0","0","9","1","89","0","0","0","1","15","0","0","0","0","0","0","0","0.2","","0","1","0","2","0","0","1","15","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","0","1","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","2","5","1","8","0","0","0","0","0","0","0","0","0","0","0","0","3","1","11","1","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Juszkiewicz, Krzysztof","1709440","0","0","0","0","0","0","0","0","0","0","0","10","5","1","5","1","20","0","0","0","0","0","0","2","12","2","13","34","1","8","12","13","1.2","","0","1","1","4","0","0","2","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","13","3","0","16","34","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","3","4","20","1","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","KS Okalew","131073","Naliwajko, Czesław","1646788","1","-2","1","0","0","53.3","4","3","1","25","-50","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-2.5","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","53.3","53.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","TKS Jelenie Studzienki","130939","Drąg, Michał","1865326","10","8","6","2","0","62.5","0","0","0","0","0","6","5","5","1","0","83","0","0","0","0","0","10","25","36","22","0","41","12","17","8","4","32","","0","1","0","0","0","0","25","36","9","1","21","1","0","4","62.5","54.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","2","1","16","41","0","0","0","0","0","5","4","0","0","1","0","0","0","0","0","0","0","3","17","18","15","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","TKS Jelenie Studzienki","130939","Henderson, Austin","1905920","4","4","4","0","0","63.8","4","0","2","50","50","3","3","2","0","0","67","1","0","100","1","100","2","10","14","0","0","0","0","0","0","0","12.4","","0","0","0","0","0","0","10","14","2","0","10","0","0","0","63.8","58.5","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","1","2","1","0","0","1","0","0","0","0","0","0","0","1","12","0","0","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.3","KS Okalew vs TKS Jelenie Studzienki 0:3","1126263","2026-07-02 17:00","Hala Sportowa Okalew","TKS Jelenie Studzienki","130939","Kowalski, Wojciech","1976238","12","11","12","1","0","62","8","0","7","88","88","1","1","0","0","0","0","0","0","0","0","0","5","24","27","1","0","1","1","0","0","0","28","","0","0","0","0","0","0","24","27","5","1","24","0","0","0","62","53.2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","7","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","18","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
