"Liga","Mecz","MatchId","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Solano, Ruben","1904087","2","0","4","2","1","56.1","0","0","0","0","0","2","1","1","1","1","100","0","0","0","0","0","1","8","12","16","0","26","16","7","2","1","5.2","{""sets"":[{""h"":25,""a"":1},{""h"":25,""a"":5},{""h"":25,""a"":3}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""25 : 1"",""txt"":""Koniec seta 1 : 0""},{""type"":""end"",""score"":""25 : 1"",""txt"":""Koniec seta 1 : 0""},{""type"":""rally"",""score"":""25 : 1"",""speed"":""60.2 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""24 : 1"",""speed"":""70.8 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""rally"",""score"":""23 : 1"",""speed"":""45.0 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""22 : 1"",""speed"":""64.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""21 : 1"",""speed"":""46.1 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""rally"",""score"":""20 : 1"",""speed"":""61.4 km/h"",""res"":""Punkt: F. Ramalho""},{""type"":""rally"",""score"":""19 : 1"",""speed"":""61.6 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""18 : 1"",""speed"":""53.9 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""17 : 1"",""speed"":""54.8 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""tmo"",""score"":""16 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 1"",""speed"":""58.4 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""15 : 1"",""speed"":""60.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""14 : 1"",""speed"":""56.4 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""13 : 1"",""speed"":""67.4 km/h"",""res"":""Błąd: M. Nowak""},{""type"":""rally"",""score"":""12 : 1"",""speed"":""63.2 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""rally"",""score"":""11 : 1"",""speed"":""56.2 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""tmo"",""score"":""10 : 1"",""txt"":""Czas dla: Jędrzej Zduńska Wola""},{""type"":""rally"",""score"":""10 : 1"",""speed"":""49.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""9 : 1"",""speed"":""47.9 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""tmo"",""score"":""8 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 1"",""speed"":""54.0 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""7 : 1"",""speed"":""47.1 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""6 : 1"",""speed"":""57.8 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""5 : 1"",""speed"":""50.0 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""4 : 1"",""speed"":""51.8 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""tmo"",""score"":""3 : 1"",""txt"":""Czas dla: Jędrzej Zduńska Wola""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""71.6 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""67.4 km/h"",""res"":""Punkt: F. Ramalho""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""45.1 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas dla: AJAX PIASTY""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""-"",""res"":""Błąd: R. Solano""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 5"",""txt"":""Koniec seta 2 : 0""},{""type"":""end"",""score"":""25 : 5"",""txt"":""Koniec seta 2 : 0""},{""type"":""rally"",""score"":""25 : 5"",""speed"":""43.6 km/h"",""res"":""Punkt: R. Solano""},{""type"":""rally"",""score"":""24 : 5"",""speed"":""46.1 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""23 : 5"",""speed"":""46.7 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""22 : 5"",""speed"":""47.8 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""21 : 5"",""speed"":""49.6 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""20 : 5"",""speed"":""53.0 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""19 : 5"",""speed"":""48.8 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""18 : 5"",""speed"":""54.1 km/h"",""res"":""Punkt: W. Chyliński""},{""type"":""rally"",""score"":""18 : 4"",""speed"":""58.5 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""17 : 4"",""speed"":""50.6 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""16 : 4"",""speed"":""46.3 km/h"",""res"":""Błąd: P. Gostomczyk""},{""type"":""rally"",""score"":""16 : 3"",""speed"":""67.3 km/h"",""res"":""Punkt: W. Malinowski""},{""type"":""tmo"",""score"":""16 : 2"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 2"",""speed"":""41.2 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""15 : 2"",""speed"":""-"",""res"":""Błąd: R. Grądzki""},{""type"":""rally"",""score"":""15 : 1"",""speed"":""54.2 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""14 : 1"",""speed"":""73.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""13 : 1"",""speed"":""50.0 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""12 : 1"",""speed"":""47.6 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""11 : 1"",""speed"":""66.9 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""tmo"",""score"":""10 : 1"",""txt"":""Czas dla: Jędrzej Zduńska Wola""},{""type"":""rally"",""score"":""10 : 1"",""speed"":""49.9 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""9 : 1"",""speed"":""58.0 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""tmo"",""score"":""8 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 1"",""speed"":""66.4 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""rally"",""score"":""7 : 1"",""speed"":""44.7 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""6 : 1"",""speed"":""47.4 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""5 : 1"",""speed"":""-"",""res"":""Błąd: F. Ramalho""},{""type"":""rally"",""score"":""5 : 0"",""speed"":""55.8 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""4 : 0"",""speed"":""63.9 km/h"",""res"":""Błąd: M. Nowak""},{""type"":""tmo"",""score"":""3 : 0"",""txt"":""Czas dla: Jędrzej Zduńska Wola""},{""type"":""rally"",""score"":""3 : 0"",""speed"":""66.5 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""60.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""tmo"",""score"":""1 : 0"",""txt"":""Czas dla: AJAX PIASTY""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""49.5 km/h"",""res"":""Punkt: R. Grądzki""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 3"",""txt"":""Koniec seta 3 : 0""},{""type"":""end"",""score"":""25 : 3"",""txt"":""Koniec seta 3 : 0""},{""type"":""rally"",""score"":""25 : 3"",""speed"":""50.7 km/h"",""res"":""Punkt: P. Gostomczyk""},{""type"":""rally"",""score"":""24 : 3"",""speed"":""61.6 km/h"",""res"":""Punkt: W. Malinowski""},{""type"":""rally"",""score"":""24 : 2"",""speed"":""43.3 km/h"",""res"":""Punkt: F. Ramalho""},{""type"":""rally"",""score"":""23 : 2"",""speed"":""-"",""res"":""Błąd: F. Ramalho""},{""type"":""rally"",""score"":""23 : 1"",""speed"":""55.5 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""22 : 1"",""speed"":""61.7 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""21 : 1"",""speed"":""52.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""20 : 1"",""speed"":""58.7 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""19 : 1"",""speed"":""61.0 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""18 : 1"",""speed"":""51.5 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""17 : 1"",""speed"":""59.9 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""tmo"",""score"":""16 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 1"",""speed"":""64.2 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""15 : 1"",""speed"":""59.7 km/h"",""res"":""Punkt: F. Ramalho""},{""type"":""rally"",""score"":""14 : 1"",""speed"":""66.1 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""rally"",""score"":""13 : 1"",""speed"":""53.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""12 : 1"",""speed"":""65.0 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""11 : 1"",""speed"":""56.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""tmo"",""score"":""10 : 1"",""txt"":""Czas dla: Jędrzej Zduńska Wola""},{""type"":""rally"",""score"":""10 : 1"",""speed"":""60.8 km/h"",""res"":""Punkt: F. Ramalho""},{""type"":""rally"",""score"":""9 : 1"",""speed"":""65.5 km/h"",""res"":""Punkt: D. Janowski""},{""type"":""tmo"",""score"":""8 : 1"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 1"",""speed"":""60.3 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""7 : 1"",""speed"":""46.7 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""6 : 1"",""speed"":""55.9 km/h"",""res"":""Punkt: M. Leszczewicz""},{""type"":""tmo"",""score"":""5 : 1"",""txt"":""Czas dla: Jędrzej Zduńska Wola""},{""type"":""rally"",""score"":""5 : 1"",""speed"":""58.7 km/h"",""res"":""Punkt: F. Ramalho""},{""type"":""rally"",""score"":""4 : 1"",""speed"":""52.9 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""46.4 km/h"",""res"":""Punkt: R. Grądzki""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""-"",""res"":""Błąd: R. Solano""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""75.1 km/h"",""res"":""Punkt: R. Solano""},{""type"":""tmo"",""score"":""1 : 0"",""txt"":""Czas dla: AJAX PIASTY""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""56.1 km/h"",""res"":""Punkt: R. Grądzki""}]}]}","1","1","0","0","0","0","8","12","1","0","7","0","0","1","75.1","65.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","1","9","26","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","3","5","17","9","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Ramalho, Filipe","1709920","6","4","50","2","5","71.6","4","0","1","25","25","4","2","1","2","1","50","0","0","0","0","0","0","9","12","0","0","0","0","0","0","0","16.2","","0","1","0","0","1","1","9","12","0","0","8","0","0","1","71.6","58.1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","3","25","6","23","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Grądzki, Ryszard","1903481","34","33","11","1","1","66.9","10","0","8","80","80","2","0","0","2","2","100","0","0","0","0","0","25","48","57","0","0","0","0","0","0","0","93.8","","0","0","0","0","2","2","48","57","22","0","43","3","0","5","73.3","57.3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","3","11","18","13","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Janowski, Damian","1905261","18","18","1","0","0","67.3","4","0","2","50","50","4","1","1","3","3","100","0","0","0","0","0","16","48","61","0","0","0","0","0","0","0","54","","2","2","0","0","1","1","48","61","15","1","43","1","0","5","67.3","67.3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","1","0","0","1","1","3","7","9","7","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Leszczewicz, Marcin","1928975","11","11","2","0","0","58.5","4","0","2","50","50","4","1","1","3","3","100","10","0","100","6","60","9","50","61","0","0","0","0","0","0","0","39.4","","1","1","0","0","2","2","50","61","6","1","43","3","0","7","58.5","56.3","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1","1","10","1","1","0","0","0","0","3","1","0","0","2","0","3","6","14","7","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Gostomczyk, Patryk","1865771","9","8","6","0","0","53","6","1","4","67","50","1","1","1","0","0","100","0","0","0","0","0","5","14","16","0","0","0","0","0","0","0","22.3","","0","0","0","0","0","0","14","16","5","0","11","0","0","3","53","47.8","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","3","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","15","1","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","AJAX PIASTY","Fournel, Olivier","1685736","0","0","0","0","0","0","0","0","0","0","0","4","3","2","1","1","75","0","0","0","0","0","0","0","0","1","0","2","2","0","0","0","2","","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","2","2","0","0","0","0","1","1","0","0","0","0","2","2","3","1","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Świerczyński, Leopold","1768050","0","0","1","0","0","49.5","1","0","0","0","0","17","6","0","11","2","12","0","0","0","0","0","0","2","11","3","54","71","0","7","28","36","0.8","","0","0","2","11","0","0","2","11","0","0","2","0","0","0","49.5","49.5","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","54","2","2","10","71","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","3","23","24","21","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Chyliński, Wiesław","1682064","1","-13","3","0","0","47.4","10","7","1","10","-60","21","8","6","13","0","29","54","7","87","2","4","0","1","9","0","0","0","0","0","0","0","1.9","","0","0","0","13","0","0","1","9","0","0","1","0","0","0","47.4","46.3","0","0","3","0","1","4","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","4","0","0","0","0","0","0","0","5","20","22","47","6","1","5","0","0","0","0","0","0","0","0","0","3","20","18","23","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Kloc, Jacek","1681896","2","-36","2","0","0","43.3","41","38","2","5","-88","7","1","0","6","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","-70.6","","0","0","0","6","0","0","0","14","0","0","0","0","0","0","43.3","42.3","0","0","19","0","0","19","0","0","3","0","0","3","0","0","0","0","0","0","0","0","16","2","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","17","9","17","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Nowak, Mikołaj","1681895","0","-7","3","0","0","50.7","8","7","0","0","-87","9","2","1","7","0","11","0","0","0","0","0","0","5","17","0","0","0","0","0","0","0","-9.7","","0","1","0","6","0","0","5","17","0","0","4","0","0","1","50.7","49.2","0","1","3","0","0","4","0","0","1","0","0","1","0","1","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","1","7","3","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Kołodziej, Adrian","1685671","0","-4","1","0","0","48.8","4","4","0","0","-100","11","2","1","9","1","18","6","0","100","0","0","0","2","19","0","0","0","0","0","0","0","-2.4","","1","1","0","8","0","0","2","19","0","0","2","0","0","0","48.8","48.8","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","4","6","0","0","0","0","0","0","1","0","1","0","0","0","3","6","4","2","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Malinowski, Wojciech","1685670","2","0","0","0","0","0","10","2","2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","0","0","0","0","0","0","0","1","","0","0","0","0","0","0","4","14","0","0","4","0","0","0","0","0","1","0","2","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","7","1","0","0","bulk-1.24-matchid-column","0","0","0"
"3.5","AJAX PIASTY vs Jędrzej Zduńska Wola 3:0","1037626","2026-06-02 17:00","Piasterdam Stadium","Jędrzej Zduńska Wola","Bieroński, Szymon","1684308","0","0","0","0","0","0","0","0","0","0","0","13","5","1","8","0","8","9","0","100","0","0","0","0","0","0","2","2","0","0","0","2","4.4","","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","2","2","5","9","1","0","1","0","0","0","0","0","0","0","0","0","3","5","6","4","0","0","bulk-1.24-matchid-column","0","0","0"
